Model,MD5,Accel,batchsize,avg_latency(ms),min_latency(ms),max_latency(ms),run_id
efficientnet-b1.onnx,8449bcd4717def9c93b5bf29fc253a54,onnxruntime_gpu_pascal,1,34.59,31.99,64.38,efficientnet-b1_pascal_1_stats.json
efficientnet-b1.onnx,8449bcd4717def9c93b5bf29fc253a54,onnxruntime_gpu_pascal,2,120.31,57.69,1279.59,efficientnet-b1_pascal_2_stats.json
efficientnet-b1.onnx,8449bcd4717def9c93b5bf29fc253a54,onnxruntime_gpu_pascal,4,173.55,109.08,1284.98,efficientnet-b1_pascal_4_stats.json
efficientnet-b1.onnx,8449bcd4717def9c93b5bf29fc253a54,onnxruntime_gpu_pascal,8,279.09,194.46,1748.01,efficientnet-b1_pascal_8_stats.json
efficientnet-b3.onnx,a66cc84a9ebdbe5d082d901bfd392312,onnxruntime_gpu_ampere,1,38.12,32.06,76.18,efficientnet-b3_ampere_1_stats.json
efficientnet-b3.onnx,a66cc84a9ebdbe5d082d901bfd392312,onnxruntime_gpu_ampere,2,134.41,49.04,1669.28,efficientnet-b3_ampere_2_stats.json
efficientnet-b3.onnx,a66cc84a9ebdbe5d082d901bfd392312,onnxruntime_gpu_ampere,4,176.98,85.13,1846.41,efficientnet-b3_ampere_4_stats.json
efficientnet-b3.onnx,a66cc84a9ebdbe5d082d901bfd392312,onnxruntime_gpu_ampere,8,233.91,148.53,1749.19,efficientnet-b3_ampere_8_stats.json
efficientnet-b3.onnx,a66cc84a9ebdbe5d082d901bfd392312,onnxruntime_gpu_pascal,1,39.8,36.89,91.32,efficientnet-b3_pascal_1_stats.json
efficientnet-b3.onnx,a66cc84a9ebdbe5d082d901bfd392312,onnxruntime_gpu_pascal,2,144.86,66.15,1611.59,efficientnet-b3_pascal_2_stats.json
efficientnet-b3.onnx,a66cc84a9ebdbe5d082d901bfd392312,onnxruntime_gpu_pascal,4,201.9,124.71,1637.37,efficientnet-b3_pascal_4_stats.json
efficientnet-b3.onnx,a66cc84a9ebdbe5d082d901bfd392312,onnxruntime_gpu_pascal,8,328.5,225.38,2174.45,efficientnet-b3_pascal_8_stats.json
efficientnet-b5.onnx,de2887d35e089f04d5e4d41824642e04,onnxruntime_gpu_ampere,1,46.57,40.87,81.28,efficientnet-b5_ampere_1_stats.json
efficientnet-b5.onnx,de2887d35e089f04d5e4d41824642e04,onnxruntime_gpu_ampere,2,229.56,60.74,3399.16,efficientnet-b5_ampere_2_stats.json
efficientnet-b5.onnx,de2887d35e089f04d5e4d41824642e04,onnxruntime_gpu_ampere,4,273.17,103.32,3436.82,efficientnet-b5_ampere_4_stats.json
efficientnet-b5.onnx,de2887d35e089f04d5e4d41824642e04,onnxruntime_gpu_ampere,8,327.31,172.32,3162.61,efficientnet-b5_ampere_8_stats.json
efficientnet-b5.onnx,de2887d35e089f04d5e4d41824642e04,onnxruntime_gpu_pascal,1,53.06,50.07,81.1,efficientnet-b5_pascal_1_stats.json
efficientnet-b5.onnx,de2887d35e089f04d5e4d41824642e04,onnxruntime_gpu_pascal,2,259.81,88.79,3480.51,efficientnet-b5_pascal_2_stats.json
efficientnet-b5.onnx,de2887d35e089f04d5e4d41824642e04,onnxruntime_gpu_pascal,4,328.09,169.2,3313.51,efficientnet-b5_pascal_4_stats.json
efficientnet-b5.onnx,de2887d35e089f04d5e4d41824642e04,onnxruntime_gpu_pascal,8,492.55,319.41,3733.59,efficientnet-b5_pascal_8_stats.json
efficientnet-b7.onnx,c1533ac018a7b3bedf4c54c6e94f9970,onnxruntime_gpu_ampere,1,52.52,44.11,91.72,efficientnet-b7_ampere_1_stats.json
efficientnet-b7.onnx,c1533ac018a7b3bedf4c54c6e94f9970,onnxruntime_gpu_ampere,2,316.46,68.78,4948.76,efficientnet-b7_ampere_2_stats.json
efficientnet-b7.onnx,c1533ac018a7b3bedf4c54c6e94f9970,onnxruntime_gpu_ampere,4,409.56,123.91,5795.01,efficientnet-b7_ampere_4_stats.json
